75368ms
181341ms
180915ms
71662ms
73047ms
72514ms
179626ms
181098ms
600478ms
72966ms
70185ms
71520ms
76620ms
70173ms
73013ms
75458ms
75074ms
71592ms
75880ms
73219ms
79688ms
78122ms
70572ms
71850ms
76022ms
76746ms
75342ms
75636ms
75680ms
73359ms
74421ms
73260ms
70337ms
75638ms
73522ms
76973ms
75050ms
71009ms
71388ms
74501ms
70850ms
75061ms
75864ms
71293ms
71430ms
70164ms
72360ms
69956ms
70754ms
71463ms
71473ms
70931ms
74353ms
75920ms
72233ms
73653ms
76491ms
77505ms
74392ms
70485ms
71712ms
71053ms
79920ms
80818ms
71005ms
72972ms
74122ms
70926ms
75936ms
71524ms
84033ms
70406ms
73676ms
77888ms
71797ms
75743ms
69902ms
72326ms
69927ms
72744ms
69946ms
85059ms
70116ms
75954ms
70174ms
70968ms
69653ms
73514ms
71101ms
73260ms
78356ms
70139ms
74126ms
72769ms
70899ms
71396ms
73444ms
72452ms
72431ms
72173ms
80386ms
77980ms
78363ms
71549ms
71099ms
70603ms
75706ms
72843ms
70983ms
71480ms
72278ms
69940ms
72646ms
74099ms
72762ms
76842ms
71027ms
70885ms
72316ms
76000ms
70160ms
75608ms
71479ms
71743ms
74734ms
74286ms
73369ms
81042ms
74680ms
76338ms
72050ms
73140ms
76698ms
76118ms
72934ms
72541ms
76647ms
71563ms
72476ms
70833ms
73929ms
75574ms
71919ms
80634ms
73418ms
75241ms
76150ms
70425ms
71066ms
71361ms
57774ms
59603ms
62985ms
67038ms
69787ms
72652ms
68413ms
71734ms
84405ms
79479ms
82532ms
73720ms
70459ms
72277ms
71134ms
74527ms
72079ms
66201ms
62721ms
64844ms
67269ms
66255ms
66250ms
72972ms
65587ms
64187ms
61789ms
165895ms
165993ms
67405ms
165341ms
166131ms
167973ms
163720ms
163887ms
71641ms
71458ms
69391ms
69830ms
71375ms
69352ms
69883ms
68649ms
71148ms
71803ms
68943ms
71074ms
70716ms
69921ms
69695ms
68459ms
69604ms
70390ms
72404ms
70443ms
79507ms
78798ms
69926ms
79700ms
72883ms
69864ms
71681ms
69250ms
70535ms
69500ms
69505ms
70540ms
70226ms
68858ms
70308ms
68912ms
69810ms
69973ms
70562ms
182111ms
179025ms
186968ms
67805ms
162181ms
167429ms
177127ms
164658ms
163786ms
64844ms
63437ms
65973ms
66467ms
67135ms
67438ms
61430ms
69111ms
68448ms
78118ms
68647ms
69493ms
69967ms
70469ms
69574ms
76491ms
61547ms
170687ms
551065ms
547444ms
169442ms
69255ms
63537ms
72156ms
68964ms
70894ms
80284ms
70445ms
71618ms
