fattree48 238 83465 137666 221131ms
fattree60 379 200981 394475 595456ms
fattree48 224 78994 200627 279621ms
fattree48 223 81721 137000 218721ms
fattree48 232 81354 144897 226251ms
fattree60 428 202700 399020 601720ms
fattree60 370 199242 404985 604227ms
fattree48 219 81285 138765 220050ms
fattree48 220 78693 182067 260760ms
fattree48 229 81246 518987 600233ms
fattree48 242 85055 1415287 1500342ms
fattree48 234 78166 327170 405336ms
fattree48 241 81189 135037 216226ms
fattree48 248 83740 132457 216197ms
fattree48 240 83905 128817 212722ms
fattree48 238 84070 15885 99955ms
fattree48 242 81480 16623 98103ms
fattree48 408 87852 12396 100248ms
fattree48 240 86416 14045 100461ms
fattree48 247 80244 16002 96246ms
fattree48 243 80149 14862 95011ms
fattree48 240 84511 13324 97835ms
fattree48 241 84045 133750 217795ms
fattree48 224 83635 15463 99098ms
fattree48 228 83925 25275 109200ms
fattree48 246 84019 18431 102450ms
fattree48 234 82918 21295 104213ms
fattree48 239 83064 22099 105163ms
fattree48 236 80560 21650 102210ms
fattree48 237 79340 22473 101813ms
fattree48 355 84996 17946 102942ms
fattree48 240 81919 41029 122948ms
fattree48 243 85515 19041 104556ms
fattree48 236 83642 17559 101201ms
fattree48 226 81286 19080 100366ms
fattree48 256 79098 18373 97471ms
fattree48 247 83519 8048 91567ms
fattree48 234 78777 10600 89377ms
fattree48 255 83214 9814 93028ms
fattree48 231 84453 8010 92463ms
fattree48 247 80789 11214 92003ms
fattree48 246 80757 9883 90640ms
fattree48 248 78124 9113 87237ms
fattree48 236 79696 69028 148724ms
fattree48 241 79779 303961 383740ms
fattree48 239 82487 20289 102776ms
fattree48 242 84321 173553 257874ms
fattree48 224 83485 24551 108036ms
fattree48 237 80231 318179 398410ms
fattree48 227 86152 28104 114256ms
fattree48 245 84753 34255 119008ms
fattree48 245 82568 31185 113753ms
fattree48 252 77990 32886 110876ms
fattree48 238 79846 28860 108706ms
fattree48 235 89142 32337 121479ms
fattree48 248 88376 56101 144477ms
fattree48 238 79125 30771 109896ms
fattree48 242 81575 134698 216273ms
fattree48 218 82414 135948 218362ms
fattree48 232 79096 142915 222011ms
fattree48 225 83586 127868 211454ms
fattree48 223 79000 142497 221497ms
fattree48 231 92198 206 92404ms
fattree48 242 78647 208 78855ms
fattree48 242 81818 213 82031ms
fattree48 256 85215 229 85444ms
